filename,width,height,class,xmin,ymin,xmax,ymax
000000001675.jpg,640,480,cat,0.0,14.01,640.0,307.57
000000001675.jpg,640,480,keyboard,61.48,367.82,569.53,473.53
000000001761.jpg,427,640,airplane,282.23,139.38,333.45000000000005,183.16
000000001761.jpg,427,640,airplane,150.17,8.63,224.26,85.82
000000001761.jpg,427,640,person,11.61,615.96,16.45,627.51
000000001761.jpg,427,640,person,4.28,616.35,11.5,626.14
000000001761.jpg,427,640,person,15.58,614.97,21.810000000000002,627.82
000000001761.jpg,427,640,person,36.24,625.74,41.04,632.98
000000001761.jpg,427,640,person,21.28,617.1,28.61,627.74
000000001818.jpg,640,425,zebra,178.04,1.44,640.0,425.0
000000001818.jpg,640,425,zebra,0.0,1.04,637.98,425.0
000000001993.jpg,640,419,bed,258.93,194.91,614.85,414.28999999999996
000000001993.jpg,640,419,chair,109.22,250.46,227.86,408.64
000000001993.jpg,640,419,chair,0.0,298.68,35.15,408.0
000000001993.jpg,640,419,dining table,0.04,251.11,154.42999999999998,419.0
000000002006.jpg,640,480,bus,46.38,80.9,609.4399999999999,426.07000000000005
000000002006.jpg,640,480,person,313.11,189.53,377.91,256.67
000000002006.jpg,640,480,person,5.23,252.99,50.959999999999994,361.45
000000002006.jpg,640,480,tie,334.35,218.94,347.97,234.31
000000002006.jpg,640,480,tie,27.35,272.68,32.31,304.59000000000003
000000002006.jpg,640,480,person,9.34,51.89,33.480000000000004,76.02
000000002006.jpg,640,480,traffic light,55.97,0.49,69.42,31.24
000000002006.jpg,640,480,traffic light,121.84,65.26,127.55,76.39
000000002149.jpg,640,427,bowl,0.0,71.01,639.06,421.24
000000002149.jpg,640,427,apple,96.45,94.44,339.59,325.52
000000002153.jpg,640,480,person,283.4,274.77,466.30999999999995,445.03999999999996
000000002153.jpg,640,480,person,371.62,207.81,433.92,405.09000000000003
000000002153.jpg,640,480,baseball bat,372.1,184.08,459.17,236.92000000000002
000000002153.jpg,640,480,person,174.64,0.0,239.32,119.95
000000002153.jpg,640,480,person,275.4,302.2,379.19,436.75
000000002157.jpg,640,427,knife,214.48,285.49,328.65999999999997,401.98
000000002157.jpg,640,427,knife,403.37,211.8,515.4,283.09000000000003
000000002157.jpg,640,427,cake,16.31,173.52,269.63,366.39
000000002157.jpg,640,427,wine glass,230.11,52.53,291.61,201.06
000000002157.jpg,640,427,wine glass,138.65,27.38,200.94,169.04
000000002157.jpg,640,427,wine glass,46.92,17.23,113.83,161.22
000000002157.jpg,640,427,wine glass,91.71,87.84,157.01,171.14
000000002157.jpg,640,427,wine glass,163.37,68.29,233.8,176.16000000000003
000000002157.jpg,640,427,wine glass,113.86,15.04,166.64,92.47999999999999
000000002157.jpg,640,427,wine glass,0.0,69.86,50.72,133.23
000000002157.jpg,640,427,wine glass,50.96,60.53,110.72,154.61
000000002157.jpg,640,427,wine glass,237.4,48.49,300.0,178.99
000000002157.jpg,640,427,cup,3.84,118.98,63.33,214.94
000000002157.jpg,640,427,cup,490.91,166.81,556.47,233.31
000000002157.jpg,640,427,dining table,1.92,33.58,640.0,422.2
000000002157.jpg,640,427,knife,216.19,310.9,408.97,422.35999999999996
000000002261.jpg,640,427,person,283.65,152.28,381.99,271.73
000000002261.jpg,640,427,surfboard,265.07,250.65,351.75,296.12
000000002299.jpg,500,302,tie,101.74,226.43,109.27,242.26000000000002
000000002299.jpg,500,302,tie,330.9,59.2,337.16999999999996,73.36
000000002299.jpg,500,302,tie,409.34,61.99,416.71,76.0
000000002299.jpg,500,302,tie,186.25,60.78,192.01,70.4
000000002299.jpg,500,302,person,70.18,189.51,134.38,301.55
000000002299.jpg,500,302,person,139.9,190.55,211.94,298.36
000000002299.jpg,500,302,person,204.27,187.31,270.1,288.43
000000002299.jpg,500,302,person,257.68,192.06,330.09000000000003,287.22
000000002299.jpg,500,302,person,327.79,190.02,390.90000000000003,285.03000000000003
000000002299.jpg,500,302,person,387.02,193.51,449.59999999999997,292.14
000000002299.jpg,500,302,person,394.3,127.59,435.02,219.88
000000002299.jpg,500,302,person,331.91,131.75,398.26,248.9
000000002299.jpg,500,302,person,322.94,129.11,361.45,201.40000000000003
000000002299.jpg,500,302,person,60.0,32.96,113.21000000000001,139.84
000000002299.jpg,500,302,person,99.93,80.0,146.60000000000002,154.28
000000002299.jpg,500,302,person,431.19,134.39,473.79,275.79999999999995
000000002299.jpg,500,302,tie,174.86,228.4,180.59,241.68
000000002299.jpg,500,302,tie,234.13,220.28,245.42,235.74
000000002299.jpg,500,302,tie,292.59,228.42,298.72999999999996,236.38
000000002299.jpg,500,302,tie,231.27,57.32,237.19,69.8
000000002299.jpg,500,302,tie,279.97,47.29,292.69000000000005,60.69
000000002299.jpg,500,302,person,284.3,118.18,325.64,227.46
000000002299.jpg,500,302,person,0.0,18.0,499.0,281.0
000000002431.jpg,457,640,wine glass,307.78,1.44,430.02,209.98
000000002431.jpg,457,640,cup,106.67,391.35,234.95,567.21
000000002431.jpg,457,640,cup,357.56,415.55,457.0,632.94
000000002431.jpg,457,640,knife,180.4,117.3,244.88,193.04
000000002431.jpg,457,640,spoon,44.49,377.66,183.23000000000002,468.79
000000002431.jpg,457,640,spoon,437.05,480.08,454.6,496.53
000000002431.jpg,457,640,dining table,5.01,6.27,457.0,626.21
000000002431.jpg,457,640,person,102.61,0.0,204.76999999999998,120.68
000000002431.jpg,457,640,person,0.0,0.0,80.53,135.9
000000002473.jpg,640,427,person,243.73,93.08,374.22,243.73000000000002
000000002473.jpg,640,427,person,436.85,280.58,498.45000000000005,380.44
000000002473.jpg,640,427,person,119.06,341.19,143.03,385.28
000000002473.jpg,640,427,person,32.39,328.76,58.16,355.17
000000002473.jpg,640,427,skis,285.42,216.95,328.17,266.84
000000002532.jpg,480,640,person,182.96,305.48,284.47,473.94000000000005
000000002532.jpg,480,640,skis,206.17,443.28,266.31,491.96
000000002587.jpg,500,375,banana,52.24,0.76,450.38,357.74
000000002587.jpg,500,375,donut,172.3,10.98,417.23,266.05
000000002592.jpg,640,366,dining table,0.82,0.92,637.63,361.17
000000002592.jpg,640,366,cup,222.89,34.54,432.62,247.56
000000002592.jpg,640,366,knife,27.84,216.86,616.83,314.95000000000005
000000002685.jpg,640,555,bottle,105.79,277.75,150.95,352.87
000000002685.jpg,640,555,bottle,121.75,272.49,180.43,336.64
000000002685.jpg,640,555,bottle,137.54,263.43,176.26999999999998,311.77
000000002685.jpg,640,555,bottle,160.27,248.36,179.27,285.61
000000002685.jpg,640,555,bottle,168.06,237.87,185.47,265.73
000000002685.jpg,640,555,bottle,140.95,256.0,177.63,290.6
000000002685.jpg,640,555,bottle,175.05,235.76,185.67000000000002,252.20999999999998
000000002685.jpg,640,555,person,315.54,56.12,638.56,440.26
000000002685.jpg,640,555,person,281.39,98.88,454.88,344.04999999999995
000000002685.jpg,640,555,person,25.61,218.59,212.99,549.95
000000002685.jpg,640,555,person,183.72,122.37,316.8,190.49
000000002685.jpg,640,555,bottle,154.53,247.11,178.31,288.44
000000002685.jpg,640,555,wine glass,78.55,189.37,108.92,227.24
000000002685.jpg,640,555,cup,367.04,200.07,386.97,218.81
000000002685.jpg,640,555,person,401.6,7.48,607.38,344.22
000000002685.jpg,640,555,handbag,502.51,255.7,542.65,314.75
000000002685.jpg,640,555,wine glass,283.19,147.99,297.62,154.89000000000001
000000002685.jpg,640,555,cup,140.87,315.74,174.67000000000002,352.65
000000002685.jpg,640,555,person,161.61,132.67,516.36,547.53
000000002923.jpg,500,375,bird,270.21,242.11,281.78999999999996,255.0
